"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"2852",1,3,3,312,11,9,1453,11,"Favorite","Uniform",112.5
"474",1,2,7,400,20,12,796,16,"Uniform","Uniform",127.47
"1029",2,2,6,377,16,16,1002,16,"Uniform","Uniform",170.86
"201",2,6,4,460,24,24,3483,24,"Favorite","Uniform",260.42
"411",2,3,5,456,6,6,1570,6,"Favorite","Uniform",111.53
"3157",1,1,5,167,25,20,628,25,"Uniform","Uniform",142.52
"2441",1,2,6,464,18,17,2353,18,"Favorite","Uniform",125
"74",2,2,3,369,7,7,805,7,"Favorite","Uniform",103.83
"1404",1,2,4,395,13,13,741,13,"Favorite","Uniform",102.5
"206",2,2,5,179,14,14,275,14,"Uniform","Uniform",122.83
"2177",1,2,6,408,37,31,2968,37,"Favorite","Uniform",290
"752",1,4,5,365,18,12,1272,16,"Favorite","Uniform",112.98
"892",1,3,4,421,16,13,599,16,"Favorite","Uniform",112.48
"2721",1,2,4,460,27,21,3159,27,"Favorite","Uniform",222.5
"751",1,2,5,269,17,17,653,17,"Favorite","Uniform",102.5
"1578",1,3,4,389,12,12,1590,12,"Favorite","Uniform",130
"1571",1,1,4,467,15,15,204,15,"Favorite","Uniform",121.5
"3149",1,1,6,447,21,18,1484,21,"Favorite","Uniform",165
"2200",1,2,5,401,11,11,971,10,"Favorite","Uniform",102.99
"551",1,2,5,331,26,25,3592,26,"Favorite","Uniform",229.97
"2184",1,2,9,413,11,11,440,11,"Favorite","Uniform",171.25
"1853",1,2,4,420,20,20,1289,20,"Favorite","Uniform",220
"1979",1,2,3,251,14,14,3376,14,"Favorite","Uniform",137.5
"2427",1,2,2,418,16,16,4516,14,"Favorite","Uniform",119.98
"94",2,2,4,231,14,14,344,14,"Favorite","Uniform",113.34
"2453",1,4,4,446,31,31,5392,25,"Favorite","Uniform",419.95
"2388",1,2,5,335,12,11,224,5,"Favorite","Uniform",234.99
"1348",1,2,6,321,26,19,1670,26,"Favorite","Uniform",215
"2206",1,2,1,467,18,14,1152,12,"Favorite","Uniform",133.74
"296",2,2,7,322,12,12,841,12,"Favorite","Uniform",142.84
"963",1,3,2,377,9,9,236,9,"Favorite","Uniform",102.5
"2043",1,2,3,364,16,16,100,10,"Favorite","Uniform",269.97
"2699",1,2,6,423,10,10,2719,10,"Favorite","Uniform",105
"1670",1,1,6,138,11,10,648,11,"Favorite","Uniform",142.5
"668",1,2,4,449,10,9,2485,6,"Uniform","Uniform",112.96
"1032",1,2,7,372,9,8,1027,9,"Favorite","Uniform",120
"1399",1,2,9,442,36,30,1716,28,"Uniform","Uniform",368.9
"1726",1,2,5,237,18,18,1757,18,"Favorite","Uniform",147.5
"3082",1,2,3,182,25,15,206,25,"Uniform","Favorite",130
"405",1,5,3,397,13,13,49,13,"Favorite","Uniform",157.5
"179",2,1,6,207,9,9,1207,9,"Favorite","Uniform",127.98
"1252",1,1,5,298,4,4,0,0,"Favorite","NONE",169.99
"172",2,1,7,286,8,8,497,8,"Favorite","Uniform",119.2
"1799",1,3,6,371,21,21,2595,21,"Favorite","Uniform",236.5
"1943",1,7,3,398,22,21,2869,22,"Favorite","Uniform",190
"1478",1,4,2,377,10,9,43,10,"Favorite","Uniform",105
"731",1,1,7,251,13,13,295,13,"Favorite","Uniform",169.97
"1470",1,3,5,461,15,15,3874,15,"Favorite","Uniform",150
"2690",1,2,4,131,10,10,768,10,"Favorite","Uniform",120
"2661",1,1,4,373,23,18,752,23,"Uniform","Uniform",107.51
"616",1,1,8,334,9,9,1184,9,"Favorite","Uniform",145.25
"1801",1,2,7,381,8,8,429,2,"Favorite","Uniform",200
"432",1,3,6,445,16,15,6605,16,"Uniform","Uniform",115
"1126",1,1,6,464,8,8,5128,5,"Favorite","Uniform",106.22
"555",1,1,5,369,13,13,715,5,"Favorite","Uniform",197.73
"2154",1,2,3,472,15,14,1284,15,"Uniform","Uniform",105.01
"50",1,4,5,387,19,15,1712,15,"Favorite","Uniform",254.99
"811",1,3,5,380,25,20,1185,25,"Uniform","Uniform",197.5
"3097",1,1,6,261,10,9,747,10,"Favorite","Uniform",138.37
"1374",1,1,6,340,22,15,258,20,"Favorite","Uniform",139.98
"116",2,1,5,304,9,9,1330,9,"Favorite","Uniform",181.51
"2172",1,1,6,353,13,12,568,5,"Favorite","Uniform",135.81
"2296",1,2,6,232,18,18,1895,16,"Uniform","Uniform",174.58
"2597",1,1,7,455,15,13,3244,15,"Favorite","Uniform",140.5
"426",1,1,4,390,17,13,1435,17,"Favorite","Uniform",142.51
"2708",1,1,5,455,14,15,5925,10,"Favorite","Uniform",160.46
"3137",1,2,4,410,23,22,3719,19,"Favorite","Uniform",281.46
"618",1,1,5,435,15,13,987,10,"Uniform","Uniform",159.67
"1444",1,4,1,287,12,10,241,10,"Favorite","Uniform",157.98
"2236",1,3,7,190,9,9,1822,6,"Uniform","Uniform",106.17
"2602",1,2,5,247,14,10,854,14,"Favorite","Uniform",110
"442",1,3,5,209,14,14,2317,14,"Favorite","Uniform",120
"2502",1,2,7,408,13,11,860,13,"Favorite","Uniform",187
"860",1,3,3,367,8,8,545,8,"Favorite","Uniform",100
"1947",1,2,3,386,19,18,3782,15,"Uniform","Uniform",267.49
"2676",1,4,4,467,15,15,1335,15,"Favorite","Uniform",150
"317",2,1,6,261,9,9,2095,9,"Favorite","Uniform",124.2
"1008",1,1,5,397,14,11,1017,14,"Favorite","Uniform",114.5
"2188",1,2,6,441,11,11,976,8,"Uniform","Uniform",108.97
"3018",1,1,4,182,14,14,15,6,"Favorite","Uniform",183.48
"946",1,1,6,409,16,15,756,14,"Favorite","Uniform",178.14
"436",1,1,4,419,11,9,21,9,"Uniform","Favorite",124.98
"3178",1,2,4,451,21,15,779,21,"Uniform","Uniform",115.01
"2878",1,4,2,448,27,22,3222,25,"Favorite","Uniform",229.97
"3058",1,2,4,443,19,16,1619,18,"Uniform","Uniform",117.5
"502",1,1,6,336,8,6,45,4,"Uniform","Uniform",106.21
"3138",1,3,5,397,18,14,2348,18,"Favorite","Uniform",140
"2720",1,1,4,201,13,13,170,11,"Favorite","Uniform",123.98
"1533",1,3,7,408,10,9,656,10,"Uniform","Favorite",107.12
"909",1,1,4,433,14,12,1027,14,"Uniform","Uniform",105.01
"1653",1,2,3,416,11,10,2836,11,"Favorite","Uniform",105
"1727",1,3,4,221,15,11,191,15,"Favorite","Uniform",155
"1822",1,3,6,408,7,7,77,0,"Favorite","Uniform",131.42
"2779",1,2,4,232,14,10,470,14,"Favorite","Uniform",107.47
"2297",1,3,4,370,22,22,682,22,"Favorite","Uniform",212.5
"1327",1,3,5,281,27,21,805,25,"Favorite","Uniform",244.98
"2564",1,3,6,336,22,18,667,22,"Favorite","Uniform",157.5
"1277",1,1,5,405,25,21,472,19,"Favorite","Uniform",342.5
"1697",1,1,5,420,11,11,1831,11,"Favorite","Uniform",145
"1803",1,1,7,467,14,14,1287,14,"Favorite","Uniform",115.9
"3163",1,2,5,407,15,15,830,15,"Favorite","Uniform",162.52
"2987",1,2,6,410,16,14,7412,16,"Uniform","Uniform",130
"2383",1,2,3,428,20,16,1670,20,"Favorite","Uniform",142.5
"129",2,3,4,406,16,13,2390,16,"Favorite","Uniform",105.95
"3110",1,2,2,434,21,16,1120,18,"Favorite","Uniform",181.16
"1410",1,3,2,187,18,17,919,18,"Uniform","Uniform",185.02
"1273",1,2,3,448,29,25,705,22,"Favorite","Favorite",217.43
"1078",2,2,5,409,15,15,3669,15,"Favorite","Uniform",125.82
"187",2,3,7,382,16,16,347,16,"Favorite","Uniform",179.66
"2550",1,4,3,368,16,12,365,16,"Favorite","Uniform",125
"1486",1,2,6,420,23,18,1212,23,"Uniform","Uniform",198.5
"1882",1,1,5,434,36,26,2610,36,"Favorite","Uniform",207.5
"2849",1,4,6,131,12,13,811,11,"Favorite","Uniform",112.48
"2288",1,2,0,231,12,12,201,12,"Favorite","Uniform",109.98
"2585",1,3,3,303,10,10,114,10,"Favorite","Uniform",140.5
"1649",1,4,2,108,8,8,1274,8,"Favorite","Uniform",117.5
"1863",1,2,6,347,12,12,1760,12,"Favorite","Uniform",114.25
"1413",1,3,5,354,11,11,1797,7,"Favorite","Uniform",139.96
"834",1,2,1,354,26,18,662,26,"Favorite","Uniform",137.5
"2054",1,2,4,444,12,11,7207,8,"Uniform","Uniform",112.48
"1414",1,3,4,171,15,11,1728,15,"Favorite","Uniform",107.5
"164",2,2,4,455,12,12,132,12,"Favorite","Uniform",118.1
"1650",1,1,5,304,10,10,1146,9,"Favorite","Uniform",117.49
"562",1,2,3,422,16,16,1340,14,"Favorite","Uniform",177.48
"3019",1,2,2,460,10,10,1626,10,"Favorite","Uniform",100.01
"467",1,1,6,374,19,17,5285,19,"Favorite","Uniform",135
"2125",1,4,4,424,40,33,3896,33,"Uniform","Uniform",488.73
"2924",1,1,5,428,26,22,1605,26,"Favorite","Uniform",148.75
"2060",1,3,4,369,21,18,2254,20,"Favorite","Uniform",149.98
"2254",1,1,8,341,14,13,319,14,"Uniform","Uniform",112.5
"1651",1,2,4,220,21,14,439,21,"Favorite","Uniform",135
"2142",1,3,2,412,12,9,1250,9,"Favorite","Uniform",192.73
"2857",1,1,5,326,10,10,530,4,"Uniform","Uniform",138.13
"2922",1,5,4,400,12,9,544,12,"Favorite","Uniform",127.5
"3208",1,2,6,368,18,14,1364,18,"Favorite","Uniform",161.5
"1384",1,1,6,331,9,9,312,6,"Favorite","Uniform",120.47
"1619",1,4,3,347,13,13,1161,13,"Favorite","Uniform",150
"2672",1,3,5,414,30,30,1004,25,"Favorite","Uniform",257.45
"1805",1,1,6,254,13,13,3597,12,"Favorite","Uniform",182.49
"2415",1,1,6,447,20,20,1767,20,"Favorite","Uniform",223.01
"2996",1,1,5,437,12,12,3955,12,"Favorite","Uniform",117.5
"2269",1,3,5,248,20,20,546,20,"Favorite","Uniform",170.02
"188",2,1,6,419,15,15,491,15,"Favorite","Uniform",239.71
"1423",1,2,2,387,10,10,241,10,"Favorite","Uniform",110
"818",1,2,3,439,22,13,1667,20,"Uniform","Uniform",106.48
"8",1,2,6,404,13,12,1488,13,"Favorite","Uniform",122.5
"199",2,1,6,469,8,8,365,8,"Favorite","Uniform",102.48
"1858",1,1,8,362,5,9,0,0,"Favorite","NONE",189.97
"2273",1,3,5,376,16,15,996,14,"Favorite","Uniform",339.98
"1144",1,2,4,417,15,15,4358,15,"Favorite","Uniform",194.75
"1361",1,3,5,456,7,8,134,6,"Favorite","Uniform",169.98
"539",1,2,3,377,25,20,3201,24,"Favorite","Uniform",157.99
"2855",1,2,4,356,19,12,3409,16,"Favorite","Uniform",201.97
"1813",1,1,5,353,8,8,1,0,"Favorite","Favorite",106.8
"2402",1,1,5,355,7,7,0,2,"Favorite","NONE",112.5
"2017",1,3,5,367,14,13,940,14,"Favorite","Uniform",102.5
"1408",1,1,4,430,29,21,2521,29,"Favorite","Uniform",142.5
"727",1,2,4,391,23,23,440,23,"Favorite","Uniform",173.01
"1299",1,2,3,415,68,68,2359,54,"Favorite","Uniform",733.57
"583",1,2,7,193,29,30,1352,24,"Favorite","Uniform",290.94
"650",1,2,4,246,12,11,1529,12,"Favorite","Uniform",140
"3051",1,3,3,230,11,11,389,11,"Favorite","Uniform",147.5
"3197",1,1,6,273,12,12,881,12,"Favorite","Uniform",172.5
"27",1,2,6,453,12,10,4036,12,"Uniform","Uniform",135
"1742",1,3,2,235,2,2,20,1,"Favorite","Uniform",139.99
"617",1,2,7,439,20,18,602,20,"Uniform","Uniform",112.52
"2657",1,4,5,388,25,20,839,24,"Favorite","Uniform",152.49
"2340",1,4,3,350,21,22,1543,18,"Favorite","Uniform",183.51
"499",1,1,5,370,7,7,2572,7,"Favorite","Uniform",102.5
"2509",1,2,6,166,19,15,1331,19,"Uniform","Uniform",142.52
"1309",1,2,5,386,19,19,356,19,"Favorite","Uniform",165
"974",1,5,5,381,22,27,122,8,"Favorite","Uniform",754.81
"3181",1,3,2,346,17,13,1206,17,"Uniform","Uniform",125
"215",2,1,5,419,9,9,46,9,"Favorite","Uniform",104.67
"3146",1,3,3,428,20,20,767,20,"Favorite","Uniform",190.03
"2457",1,3,5,384,29,25,1954,19,"Favorite","Uniform",315.12
"2958",1,3,4,294,18,14,666,18,"Uniform","Uniform",122.5
"319",2,2,4,460,16,16,3942,16,"Favorite","Uniform",133.59
"2128",1,2,4,365,10,9,1240,10,"Favorite","Uniform",144
"2581",1,2,8,211,14,11,445,14,"Uniform","Uniform",125
"2854",1,1,4,372,15,14,613,15,"Uniform","Uniform",120
"2370",1,1,4,424,53,45,550,44,"Favorite","Uniform",662.48
"389",1,3,4,214,7,7,30,1,"Favorite","Uniform",103.35
"2587",1,1,5,464,15,14,1388,15,"Favorite","Uniform",141.01
"3206",1,2,2,348,20,20,2933,13,"Favorite","Uniform",223.23
"1553",1,2,5,374,13,13,637,10,"Favorite","Uniform",147.51
"3184",1,2,6,358,32,32,528,14,"Favorite","Uniform",461.67
"1375",1,3,4,409,24,13,1676,23,"Uniform","Uniform",106.25
"2828",1,1,7,169,12,10,772,10,"Favorite","Uniform",108.39
"1581",1,2,4,335,17,19,1082,15,"Favorite","Uniform",223.46
"1458",1,2,4,395,16,14,678,16,"Favorite","Uniform",162.5
"3027",1,5,4,377,22,19,8148,22,"Favorite","Uniform",120.02
"1555",1,3,5,332,18,15,579,18,"Uniform","Uniform",127.5
"844",1,2,7,391,21,20,2986,18,"Favorite","Uniform",260
"1185",1,1,7,339,11,11,188,6,"Uniform","Uniform",138.51
"3001",1,1,4,286,9,8,161,5,"Favorite","Uniform",189.99
"470",1,2,3,225,29,29,269,29,"Favorite","Uniform",170
"912",1,2,4,204,17,12,2810,17,"Favorite","Uniform",172.5
"1354",1,3,7,315,10,10,908,10,"Favorite","Uniform",112.5
"842",1,3,3,176,20,15,2221,20,"Uniform","Uniform",115.02
"720",1,2,5,419,34,29,10048,34,"Favorite","Uniform",367.25
"1973",1,2,6,441,39,27,4027,39,"Favorite","Uniform",203.78
"1191",1,2,3,472,17,14,2502,17,"Uniform","Uniform",132.5
"2392",1,2,2,350,17,14,779,14,"Uniform","Uniform",189.98
"2150",1,3,3,375,18,18,2514,16,"Uniform","Uniform",137.48
"868",1,2,5,383,35,31,2131,33,"Favorite","Uniform",397.48
"71",2,4,5,346,12,12,1339,12,"Favorite","Uniform",106.63
"1333",1,5,7,437,16,15,1970,16,"Favorite","Uniform",150
"817",1,1,4,366,22,22,196,21,"Favorite","Uniform",143.7
"1207",1,3,6,393,19,18,3265,19,"Favorite","Uniform",160
"726",1,2,4,180,6,6,783,3,"Favorite","Uniform",121.11
"373",1,2,5,320,14,14,1461,10,"Favorite","Uniform",115.98
"2129",1,2,4,338,9,9,1288,7,"Favorite","Uniform",114.23
"1860",1,2,4,365,10,9,499,6,"Uniform","Uniform",197.5
"2863",1,4,7,303,6,6,0,0,"Favorite","NONE",203.86
"671",1,2,7,368,9,9,749,9,"Favorite","Uniform",102.5
"2367",1,2,4,384,20,20,2840,20,"Favorite","Uniform",125.03
"862",1,4,6,400,29,29,1315,29,"Favorite","Uniform",312.5
"1673",1,2,3,405,24,24,2222,24,"Favorite","Uniform",227.53
"2068",1,1,8,366,21,20,902,19,"Favorite","Uniform",256.49
"7",1,3,8,369,25,15,75,25,"Favorite","Favorite",127.5
"1383",1,2,6,426,9,8,1102,9,"Favorite","Uniform",100
"2286",1,1,9,337,8,8,441,2,"Favorite","Uniform",231.13
"1490",1,3,6,308,14,14,236,14,"Favorite","Uniform",124.5
"2576",1,3,6,421,19,18,2166,19,"Favorite","Uniform",180
"2136",1,3,4,391,14,8,524,14,"Favorite","Uniform",102.5
"1865",1,1,5,465,26,21,1567,26,"Uniform","Uniform",202.51
"52",1,4,3,411,16,16,608,16,"Favorite","Uniform",122.25
"1219",1,2,5,187,12,12,476,12,"Favorite","Uniform",122.5
"2349",1,3,1,435,15,15,44,15,"Favorite","Favorite",135
"1063",1,3,4,268,12,9,3618,8,"Favorite","Uniform",202.49
"1814",1,2,4,156,14,14,483,14,"Favorite","Uniform",135
"691",1,2,6,343,40,33,857,40,"Uniform","Uniform",256.76
"2747",1,3,1,200,9,9,1713,9,"Favorite","Uniform",172.5
"1483",1,3,6,341,12,12,641,10,"Favorite","Uniform",107.98
"2426",1,5,3,450,20,20,2782,20,"Favorite","Uniform",122.52
"434",1,2,6,225,13,13,1423,13,"Favorite","Uniform",135.01
"3024",1,1,5,260,16,16,508,11,"Favorite","Uniform",160.45
"2372",1,1,4,322,20,16,636,18,"Favorite","Uniform",140.64
"1295",1,3,6,389,14,13,12,14,"Uniform","Uniform",135
"1068",1,1,8,366,11,11,640,11,"Favorite","Uniform",115
"2036",1,5,6,362,14,14,2861,13,"Uniform","Uniform",110
"2926",1,1,6,379,25,21,2803,25,"Favorite","Uniform",152.5
"569",1,2,4,151,19,13,576,19,"Uniform","Uniform",102.5
"2864",1,2,7,369,17,18,711,13,"Favorite","Uniform",239.3
"663",1,3,3,358,15,16,623,11,"Favorite","Uniform",424.95
"21",1,3,4,448,6,6,1016,6,"Favorite","Uniform",100
"876",1,2,4,272,15,15,419,9,"Favorite","Uniform",224.99
"1874",1,2,3,396,37,36,975,31,"Favorite","Uniform",313.43
"2915",1,1,6,284,9,9,1859,7,"Favorite","Uniform",111.73
"2088",1,2,4,367,17,14,1544,15,"Favorite","Uniform",135.48
"2611",1,1,6,223,7,7,305,1,"Favorite","Uniform",135.18
"3034",1,2,4,372,35,20,313,35,"Favorite","Uniform",120.01
"1594",1,2,4,421,19,14,851,19,"Uniform","Uniform",130
"1811",1,2,3,157,6,6,131,1,"Favorite","Uniform",131.34
"783",1,3,4,371,11,11,1964,11,"Favorite","Uniform",110
"3095",1,2,5,468,21,17,5737,21,"Favorite","Uniform",140
"1345",1,4,4,468,23,16,5492,23,"Uniform","Uniform",129.75
"1639",1,3,7,361,19,17,1520,13,"Favorite","Uniform",292.5
"901",2,2,5,132,8,8,365,8,"Favorite","Uniform",115.13
"1268",1,2,3,366,14,9,371,14,"Uniform","Uniform",112.5
"1780",1,2,6,119,15,12,235,15,"Favorite","Favorite",150
"2673",1,2,5,368,7,7,82,7,"Favorite","Uniform",120
"2084",1,3,5,293,20,20,2561,20,"Favorite","Uniform",167.5
"1167",2,2,5,457,21,17,1348,21,"Favorite","Uniform",141.75
"1430",1,2,4,414,16,14,4125,16,"Uniform","Uniform",110
"301",2,3,3,445,12,12,2908,12,"Favorite","Uniform",147.56
"2091",2,2,5,371,22,16,833,22,"Favorite","Uniform",126.52
"2869",1,1,7,366,24,13,588,24,"Uniform","Uniform",120
"1921",1,2,1,459,20,16,2220,19,"Favorite","Uniform",121.24
"902",1,2,4,425,16,14,1644,16,"Favorite","Uniform",115
"379",2,2,3,397,39,26,994,39,"Favorite","Uniform",340.02
"3003",1,2,4,357,24,21,6112,24,"Favorite","Uniform",180
"1840",1,3,8,371,17,13,212,17,"Uniform","Uniform",132.51
"1525",1,1,6,383,27,24,846,27,"Uniform","Uniform",195.01
"2246",1,2,3,145,13,13,238,13,"Favorite","Uniform",155
"1249",1,2,4,367,11,11,15,11,"Favorite","Uniform",100
"2134",1,1,6,358,8,8,1114,3,"Uniform","Uniform",142.49
"184",2,2,6,213,12,12,1057,12,"Favorite","Uniform",190.31
"1739",1,2,6,345,9,11,2712,7,"Favorite","Uniform",112.46
"2694",1,1,5,214,15,13,1142,11,"Favorite","Uniform",229.99
"2409",1,2,5,470,8,8,279,0,"Favorite","Uniform",130.11
"1900",1,1,6,369,17,17,1033,17,"Favorite","Uniform",155
"477",1,1,5,317,12,10,1104,4,"Uniform","Uniform",219.98
"326",2,3,5,454,12,12,620,12,"Favorite","Uniform",111.79
"61",1,1,6,379,7,7,266,5,"Uniform","Uniform",167.48
"1039",1,2,5,367,8,8,1614,8,"Uniform","Uniform",121.25
"1769",1,2,4,460,28,21,1903,28,"Uniform","Uniform",195.01
"519",1,2,4,324,30,29,3971,21,"Favorite","Uniform",400.9
"1820",1,6,3,233,16,15,395,16,"Favorite","Uniform",172.5
"2909",1,2,6,460,19,17,854,19,"Favorite","Uniform",205
"2515",2,2,4,460,20,20,490,20,"Uniform","Uniform",155.43
"1765",1,4,5,441,14,11,825,14,"Favorite","Uniform",135
"335",2,3,6,304,9,9,783,9,"Favorite","Uniform",138.52
"968",1,3,5,233,3,4,907,2,"Favorite","Uniform",274.98
"1286",1,1,5,240,15,12,1581,12,"Favorite","Uniform",143.72
"2670",1,2,6,401,12,12,1017,12,"Favorite","Uniform",133.75
"516",1,1,6,273,19,19,1417,19,"Favorite","Uniform",130
"1082",1,3,3,411,17,16,1235,17,"Uniform","Uniform",160.03
"148",2,1,7,420,14,11,1365,14,"Uniform","Uniform",119.77
"702",1,3,6,307,13,13,1821,13,"Favorite","Uniform",120.75
"1914",1,2,5,363,19,19,2120,19,"Uniform","Uniform",155.02
"359",2,3,3,425,19,19,2590,19,"Favorite","Uniform",147.36
"1602",1,2,3,379,18,18,573,18,"Favorite","Uniform",100
"1139",1,1,6,463,18,18,761,18,"Favorite","Uniform",188.62
"1716",1,2,4,395,18,18,961,18,"Favorite","Uniform",260
"3009",1,1,7,336,10,10,109,5,"Favorite","Uniform",117.18
"2795",1,3,4,379,18,18,2005,18,"Favorite","Uniform",142.5
"948",1,1,7,313,10,10,1702,10,"Uniform","Uniform",107.5
"1741",1,2,4,270,10,10,836,8,"Favorite","Uniform",106.71
"799",1,2,4,366,15,15,4406,14,"Favorite","Uniform",173.48
"2682",1,1,5,466,14,14,136,14,"Favorite","Uniform",138.75
"1305",1,1,6,464,11,11,2080,4,"Favorite","Uniform",149.34
"1993",1,1,5,352,8,7,627,4,"Favorite","Uniform",187.45
"2910",1,2,5,433,37,29,27829,36,"Favorite","Uniform",254.05
"1740",1,3,5,362,29,29,3539,27,"Favorite","Uniform",384.97
"107",2,2,6,465,28,28,9554,28,"Favorite","Uniform",358.51
"2519",1,2,3,403,17,12,496,17,"Uniform","Uniform",100.01
"2799",1,1,7,367,20,19,695,20,"Uniform","Uniform",125.04
"3073",1,1,6,233,14,14,313,14,"Favorite","Uniform",104.75
"1425",1,2,3,414,16,15,207,16,"Favorite","Uniform",145
"2026",1,2,6,378,7,7,2639,7,"Favorite","Uniform",110
"2345",1,2,4,211,7,7,913,1,"Favorite","Uniform",207.97
"1737",1,2,3,343,24,24,626,24,"Favorite","Uniform",301.12
"642",1,4,4,370,9,9,218,9,"Favorite","Uniform",102.5
"1722",1,3,2,415,36,36,3346,36,"Favorite","Uniform",312.5
"486",1,3,5,340,26,26,1291,22,"Favorite","Uniform",287.5
"666",1,2,4,400,11,11,1939,11,"Favorite","Uniform",120.01
"1498",1,1,8,384,10,8,1080,10,"Favorite","Uniform",106.5
"3134",1,1,6,333,15,12,208,13,"Favorite","Uniform",119.98
"1231",1,1,6,239,22,13,602,18,"Uniform","Uniform",153.37
"676",1,1,8,334,10,8,244,10,"Favorite","Uniform",105.5
"3038",1,1,8,377,12,12,1045,12,"Favorite","Uniform",100
"1635",1,2,5,244,12,10,1660,12,"Uniform","Uniform",100
"1633",1,4,6,310,12,12,856,10,"Favorite","Uniform",133.48
"1325",1,1,4,346,12,12,177,12,"Favorite","Uniform",102.5
"1496",1,1,5,240,32,20,786,32,"Uniform","Uniform",175
"598",1,1,6,361,11,11,73,11,"Favorite","Uniform",130
"1026",1,3,4,351,23,17,423,23,"Favorite","Uniform",200
"357",2,1,5,450,51,51,5039,51,"Favorite","Uniform",582.26
"1616",1,2,4,432,22,21,2248,22,"Favorite","Uniform",265
"1365",1,2,6,113,22,14,504,22,"Favorite","Uniform",157.5
"2264",1,2,4,462,1,1,198,0,"Favorite","Favorite",119.99
"3060",2,2,5,195,19,19,1042,19,"Favorite","Uniform",207.88
"2163",1,2,6,380,13,13,1121,13,"Favorite","Uniform",165
"85",2,2,3,368,6,6,334,6,"Favorite","Uniform",108.59
"1793",1,2,8,193,10,10,401,4,"Favorite","Uniform",125.48
"1855",1,2,5,404,26,21,779,26,"Favorite","Uniform",180
"1487",1,2,5,433,53,41,3915,53,"Favorite","Uniform",427.52
"1904",1,1,5,288,11,11,1584,11,"Favorite","Uniform",122.5
"2173",1,2,9,182,7,7,2240,7,"Favorite","Uniform",102.5
"2211",1,2,5,384,13,12,1692,9,"Favorite","Uniform",219.99
"961",1,2,4,362,21,21,6395,21,"Favorite","Uniform",320.01
"267",2,2,7,378,11,11,2633,11,"Favorite","Uniform",122.53
"337",2,1,5,127,8,8,741,8,"Favorite","Uniform",116.45
"2499",1,2,4,408,22,22,2882,21,"Favorite","Uniform",172.99
"595",1,2,6,428,9,9,3872,9,"Favorite","Uniform",107.51
"3180",1,2,3,351,30,20,1535,30,"Uniform","Uniform",151.75
"3049",1,1,8,469,3,3,167,0,"Favorite","Uniform",176.39
"699",1,2,3,369,12,12,522,3,"Favorite","Uniform",124.9
"195",2,4,4,101,17,17,346,17,"Favorite","Uniform",200.4
"1236",1,3,2,407,17,17,1473,17,"Favorite","Uniform",107.5
"306",2,1,8,332,18,18,597,18,"Favorite","Uniform",138.56
"163",2,2,5,377,13,13,2016,13,"Favorite","Uniform",157.3
"266",2,3,4,195,12,12,532,12,"Favorite","Uniform",127.38
"1610",1,2,6,356,45,34,1547,45,"Favorite","Uniform",407.5
"448",1,2,6,442,7,7,0,1,"Favorite","NONE",123.7
"377",1,2,3,446,49,49,11311,49,"Favorite","Uniform",489
"56",2,2,4,368,13,13,398,13,"Favorite","Uniform",200.8
"2927",1,2,2,224,9,7,2116,9,"Uniform","Uniform",100
"2393",1,3,2,389,10,10,2859,6,"Favorite","Uniform",113.46
"1841",1,3,6,239,12,12,999,12,"Favorite","Uniform",107.52
"1910",1,2,5,312,23,20,2991,21,"Uniform","Uniform",190.48
"2309",1,2,17,366,12,12,6795,10,"Favorite","Uniform",120.64
"1395",1,2,5,441,18,18,697,18,"Favorite","Uniform",167.51
"969",1,2,4,104,13,11,369,13,"Favorite","Uniform",122.5
"800",1,2,6,363,11,11,1062,11,"Favorite","Uniform",112.5
"2716",1,2,0,399,12,12,1235,4,"Favorite","Uniform",158.43
"2357",1,1,8,230,11,11,643,11,"Favorite","Uniform",139.5
"1171",1,3,7,365,8,7,3800,8,"Favorite","Uniform",112.5
"2565",1,2,4,205,27,21,1124,24,"Uniform","Uniform",205.26
"2738",1,2,4,408,14,11,882,14,"Uniform","Uniform",160
"3066",1,1,5,359,13,13,1005,11,"Favorite","Uniform",112.49
"174",2,1,6,364,12,12,660,12,"Favorite","Uniform",112.91
"2598",1,2,3,411,14,14,2691,14,"Uniform","Uniform",110
"2804",1,1,16,403,33,27,3481,33,"Favorite","Uniform",262.5
"2691",1,2,4,126,13,13,402,9,"Uniform","Uniform",116.16
"509",1,2,8,287,8,8,51,2,"Favorite","Uniform",121.69
"2780",1,3,5,440,18,18,910,18,"Favorite","Uniform",182.5
"761",1,2,3,430,19,17,652,19,"Favorite","Uniform",152.5
"2223",1,3,6,336,26,24,826,26,"Favorite","Uniform",280
"566",1,2,5,296,19,15,173,19,"Favorite","Uniform",127.5
"202",2,3,5,382,19,19,812,19,"Favorite","Uniform",208.59
"1044",1,1,5,404,44,44,2483,44,"Favorite","Uniform",425
"2031",1,2,4,118,17,12,30,17,"Favorite","Uniform",107.5
"108",2,1,6,384,6,6,880,6,"Favorite","Uniform",101.22
"2000",1,3,3,402,17,14,595,17,"Favorite","Uniform",132.5
"1590",1,5,6,336,3,3,401,2,"Favorite","Uniform",117.49
"1494",1,2,4,418,22,24,2089,20,"Favorite","Uniform",229.96
